video_id,number_of_frames,total_distance,activity_ratio,processing_status
Subj_102_part_29,73,227.28678672257024,0.125,ok
Subj_102_part_3,66,317.4979348322108,0.26153846153846155,ok
Subj_102_part_30,79,55.40203330460991,0.0,ok
Subj_102_part_31,96,435.79883449619575,0.2736842105263158,ok
Subj_102_part_32,111,330.4080419511,0.14545454545454545,ok
Subj_102_part_33,123,256.36700071013763,0.12295081967213115,ok
Subj_102_part_34,117,230.4148154581241,0.0603448275862069,ok
Subj_102_part_35,80,860.1602474244303,0.2911392405063291,ok
Subj_102_part_36,106,462.09245831611094,0.20952380952380953,ok
Subj_102_part_37,124,300.70268552357675,0.0975609756097561,ok
Subj_102_part_38,120,679.6441340016148,0.19327731092436976,ok
Subj_102_part_39,78,602.837140741472,0.42857142857142855,ok
Subj_102_part_4,108,604.6630147428141,0.3364485981308411,ok
Subj_102_part_40,132,447.62806319785926,0.25190839694656486,ok
Subj_102_part_41,0,0.0,0.0,missing_sequence
Subj_102_part_42,106,659.6220543418615,0.3904761904761905,ok
Subj_102_part_43,59,495.2763934522175,0.5,ok
Subj_102_part_44,0,0.0,0.0,missing_sequence
Subj_102_part_45,120,231.54653872690199,0.15966386554621848,ok
Subj_102_part_46,127,544.5312223395389,0.30952380952380953,ok
Subj_102_part_47,120,189.1944574573296,0.08403361344537816,ok
Subj_102_part_48,122,390.0327589168195,0.2231404958677686,ok
Subj_102_part_49,120,368.27077002010253,0.21008403361344538,ok
Subj_102_part_5,99,657.7888198932501,0.336734693877551,ok
Subj_102_part_50,132,485.3834338396316,0.24427480916030533,ok
Subj_102_part_51,102,593.6714440765322,0.3069306930693069,ok
Subj_102_part_52,120,54.33802208775529,0.0,ok
Subj_102_part_53,132,331.613088790699,0.13740458015267176,ok
Subj_102_part_54,94,660.3497584902193,0.1935483870967742,ok
Subj_102_part_55,74,76.30066672904566,0.0410958904109589,ok
Subj_102_part_56,120,815.7884227891635,0.20168067226890757,ok
Subj_102_part_57,117,642.9764165242814,0.14655172413793102,ok
Subj_102_part_58,75,590.6350273591316,0.3918918918918919,ok
Subj_102_part_59,116,256.27392281055313,0.12173913043478261,ok
Subj_102_part_6,77,852.2488815938406,0.35526315789473684,ok
Subj_102_part_60,132,49.39292222699217,0.0,ok
Subj_102_part_61,120,367.1798586725123,0.14285714285714285,ok
Subj_102_part_62,117,290.38705489781154,0.11206896551724138,ok
Subj_102_part_63,103,267.77105782738244,0.11764705882352941,ok
Subj_102_part_64,119,350.24443631577424,0.17796610169491525,ok
Subj_102_part_65,132,148.65460792560052,0.030534351145038167,ok
Subj_102_part_66,119,185.17615842332623,0.059322033898305086,ok
Subj_102_part_67,132,249.9405912546962,0.04580152671755725,ok
Subj_102_part_68,120,161.14423910690624,0.058823529411764705,ok
Subj_102_part_69,115,302.15087053094544,0.19298245614035087,ok
